ID,Name,Ticker,Asset Class,Annual Drift (mu),Annual Volatility (sig),Risk-Free Rate (rf),Base Price,Currency
ccl,Carnival,CCL,us-stock,0.315,0.249,0.045,734.68,$
nclh,Norwegian Cruise Line Holdings,NCLH,us-stock,0.334,0.199,0.045,763.86,$
cb,Chubb Limited,CB,us-stock,0.143,0.304,0.045,241.68,$
wm,Waste Management,WM,us-stock,0.261,0.423,0.045,793.55,$
aep,American Electric Power,AEP,us-stock,0.185,0.611,0.045,882.74,$
gww,W. W. Grainger,GWW,us-stock,0.091,0.485,0.045,112.19,$
ecl,Ecolab,ECL,us-stock,0.341,0.478,0.045,280.76,$
tyl,Tyler Technologies,TYL,us-stock,0.280,0.452,0.045,574.46,$
wrb,W. R. Berkley Corporation,WRB,us-stock,0.182,0.358,0.045,591.80,$
tmo,Thermo Fisher Scientific,TMO,us-stock,0.323,0.217,0.045,259.07,$
gpc,Genuine Parts Company,GPC,us-stock,0.343,0.285,0.045,411.78,$
luv,Southwest Airlines,LUV,us-stock,0.301,0.342,0.045,794.73,$
cien,Ciena,CIEN,us-stock,0.320,0.183,0.045,883.21,$
tsn,Tyson Foods,TSN,us-stock,0.199,0.288,0.045,519.40,$
cat,Caterpillar Inc.,CAT,us-stock,0.156,0.251,0.045,165.78,$
usb,U.S. Bancorp,USB,us-stock,0.243,0.564,0.045,664.50,$
eix,Edison International,EIX,us-stock,0.192,0.335,0.045,122.21,$
wab,Wabtec,WAB,us-stock,0.262,0.405,0.045,594.88,$
reg,Regency Centers,REG,us-stock,0.255,0.373,0.045,251.23,$
t,AT&T,T,us-stock,0.115,0.458,0.045,143.38,$
chd,Church & Dwight,CHD,us-stock,0.218,0.599,0.045,155.40,$
ftv,Fortive,FTV,us-stock,0.125,0.614,0.045,521.47,$
pcar,Paccar,PCAR,us-stock,0.189,0.636,0.045,641.25,$
fitb,Fifth Third Bancorp,FITB,us-stock,0.317,0.522,0.045,823.09,$
bby,Best Buy,BBY,us-stock,0.336,0.282,0.045,610.46,$
hubb,Hubbell Incorporated,HUBB,us-stock,0.207,0.406,0.045,227.17,$
xyz,"""Block",XYZ,us-stock,0.191,0.247,0.045,586.82,$
csco,Cisco,CSCO,us-stock,0.287,0.473,0.045,515.70,$
lite,Lumentum,LITE,us-stock,0.125,0.502,0.045,923.13,$
sna,Snap-on,SNA,us-stock,0.241,0.212,0.045,384.43,$
fix,Comfort Systems USA,FIX,us-stock,0.116,0.188,0.045,527.48,$
j,Jacobs Solutions,J,us-stock,0.326,0.502,0.045,828.25,$
ew,Edwards Lifesciences,EW,us-stock,0.243,0.263,0.045,902.59,$
qcom,Qualcomm,QCOM,us-stock,0.242,0.593,0.045,536.12,$
adi,Analog Devices,ADI,us-stock,0.283,0.224,0.045,662.80,$
pfe,Pfizer,PFE,us-stock,0.324,0.433,0.045,11.19,$
amp,Ameriprise Financial,AMP,us-stock,0.333,0.499,0.045,437.18,$
spgi,S&P Global,SPGI,us-stock,0.194,0.591,0.045,700.67,$
uhs,Universal Health Services,UHS,us-stock,0.196,0.621,0.045,487.30,$
ual,United Airlines Holdings,UAL,us-stock,0.288,0.345,0.045,806.57,$
dgx,Quest Diagnostics,DGX,us-stock,0.325,0.573,0.045,580.36,$
apd,Air Products,APD,us-stock,0.195,0.300,0.045,768.20,$
emr,Emerson Electric,EMR,us-stock,0.326,0.219,0.045,602.31,$
nvr,"""NVR",NVR,us-stock,0.227,0.301,0.045,15.41,$
ko,Coca-Cola Company (The),KO,us-stock,0.281,0.183,0.045,527.32,$
v,Visa Inc.,V,us-stock,0.220,0.356,0.045,213.36,$
brk.b,Berkshire Hathaway,BRK.B,us-stock,0.297,0.372,0.045,115.52,$
doc,Healthpeak Properties,DOC,us-stock,0.195,0.455,0.045,268.69,$
jbht,J.B. Hunt,JBHT,us-stock,0.225,0.445,0.045,615.76,$
gl,Globe Life,GL,us-stock,0.348,0.367,0.045,211.66,$
mchp,Microchip Technology,MCHP,us-stock,0.229,0.442,0.045,186.93,$
sbac,SBA Communications,SBAC,us-stock,0.231,0.407,0.045,988.62,$
dow,Dow Inc.,DOW,us-stock,0.236,0.544,0.045,404.15,$
cmg,Chipotle Mexican Grill,CMG,us-stock,0.117,0.586,0.045,127.89,$
mtd,Mettler Toledo,MTD,us-stock,0.142,0.548,0.045,949.75,$
pg,Procter & Gamble,PG,us-stock,0.107,0.419,0.045,788.22,$
orly,O’Reilly Automotive,ORLY,us-stock,0.296,0.469,0.045,687.72,$
noc,Northrop Grumman,NOC,us-stock,0.094,0.363,0.045,639.52,$
psx,Phillips 66,PSX,us-stock,0.297,0.567,0.045,476.95,$
cof,Capital One,COF,us-stock,0.242,0.221,0.045,270.46,$
kr,Kroger,KR,us-stock,0.180,0.466,0.045,727.25,$
hum,Humana,HUM,us-stock,0.331,0.368,0.045,659.61,$
blk,BlackRock,BLK,us-stock,0.157,0.633,0.045,66.89,$
biib,Biogen,BIIB,us-stock,0.289,0.262,0.045,499.42,$
kdp,Keurig Dr Pepper,KDP,us-stock,0.083,0.580,0.045,931.45,$
smci,Supermicro,SMCI,us-stock,0.220,0.272,0.045,786.12,$
idxx,Idexx Laboratories,IDXX,us-stock,0.218,0.508,0.045,619.04,$
adm,Archer Daniels Midland,ADM,us-stock,0.262,0.349,0.045,658.47,$
swk,Stanley Black & Decker,SWK,us-stock,0.343,0.221,0.045,283.18,$
pru,Prudential Financial,PRU,us-stock,0.188,0.495,0.045,411.40,$
cop,ConocoPhillips,COP,us-stock,0.134,0.187,0.045,706.59,$
awk,American Water Works,AWK,us-stock,0.328,0.438,0.045,728.88,$
cag,Conagra Brands,CAG,us-stock,0.231,0.454,0.045,354.00,$
dash,DoorDash,DASH,us-stock,0.300,0.286,0.045,963.43,$
panw,Palo Alto Networks,PANW,us-stock,0.203,0.370,0.045,14.60,$
crm,Salesforce,CRM,us-stock,0.127,0.418,0.045,563.04,$
a,Agilent Technologies,A,us-stock,0.216,0.340,0.045,125.84,$
incy,Incyte,INCY,us-stock,0.219,0.301,0.045,542.52,$
ebay,eBay Inc.,EBAY,us-stock,0.294,0.298,0.045,448.34,$
mcd,McDonald's,MCD,us-stock,0.182,0.407,0.045,250.84,$
mmm,3M,MMM,us-stock,0.172,0.545,0.045,684.78,$
kvue,Kenvue,KVUE,us-stock,0.322,0.585,0.045,487.15,$
kim,Kimco Realty,KIM,us-stock,0.150,0.360,0.045,790.77,$
cpt,Camden Property Trust,CPT,us-stock,0.140,0.510,0.045,802.16,$
exr,Extra Space Storage,EXR,us-stock,0.191,0.346,0.045,540.30,$
unh,UnitedHealth Group,UNH,us-stock,0.269,0.304,0.045,294.42,$
vst,Vistra Corp.,VST,us-stock,0.188,0.532,0.045,348.57,$
rcl,Royal Caribbean Group,RCL,us-stock,0.230,0.264,0.045,320.73,$
mnst,Monster Beverage,MNST,us-stock,0.139,0.450,0.045,190.96,$
dlr,Digital Realty,DLR,us-stock,0.281,0.617,0.045,198.27,$
mdlz,Mondelez International,MDLZ,us-stock,0.279,0.290,0.045,249.64,$
avy,Avery Dennison,AVY,us-stock,0.152,0.288,0.045,836.59,$
isrg,Intuitive Surgical,ISRG,us-stock,0.306,0.347,0.045,781.15,$
cboe,Cboe Global Markets,CBOE,us-stock,0.112,0.217,0.045,956.22,$
iff,International Flavors & Fragrances,IFF,us-stock,0.213,0.183,0.045,858.52,$
pnr,Pentair,PNR,us-stock,0.339,0.579,0.045,377.48,$
aos,A. O. Smith,AOS,us-stock,0.165,0.602,0.045,882.18,$
sw,Smurfit Westrock,SW,us-stock,0.235,0.309,0.045,191.04,$
chrw,C.H. Robinson,CHRW,us-stock,0.286,0.420,0.045,403.90,$
gild,Gilead Sciences,GILD,us-stock,0.283,0.240,0.045,530.48,$
trgp,Targa Resources,TRGP,us-stock,0.194,0.622,0.045,42.24,$
zbh,Zimmer Biomet,ZBH,us-stock,0.174,0.584,0.045,778.14,$
ulta,Ulta Beauty,ULTA,us-stock,0.203,0.237,0.045,523.02,$
ndaq,"""Nasdaq",NDAQ,us-stock,0.165,0.184,0.045,677.36,$
slb,Schlumberger,SLB,us-stock,0.182,0.227,0.045,367.99,$
tsla,"""Tesla",TSLA,us-stock,0.313,0.268,0.045,270.22,$
bac,Bank of America,BAC,us-stock,0.153,0.631,0.045,349.67,$
adbe,Adobe Inc.,ADBE,us-stock,0.130,0.379,0.045,424.90,$
lh,Labcorp,LH,us-stock,0.283,0.352,0.045,406.59,$
cprt,Copart,CPRT,us-stock,0.202,0.449,0.045,979.48,$
jpm,JPMorgan Chase,JPM,us-stock,0.265,0.563,0.045,723.61,$
hst,Host Hotels & Resorts,HST,us-stock,0.297,0.441,0.045,857.75,$
wsm,"""Williams-Sonoma",WSM,us-stock,0.133,0.556,0.045,741.16,$
fico,Fair Isaac,FICO,us-stock,0.208,0.185,0.045,427.31,$
frt,Federal Realty Investment Trust,FRT,us-stock,0.116,0.600,0.045,634.35,$
amgn,Amgen,AMGN,us-stock,0.224,0.328,0.045,491.75,$
mkc,McCormick & Company,MKC,us-stock,0.148,0.583,0.045,57.23,$
unp,Union Pacific Corporation,UNP,us-stock,0.107,0.257,0.045,223.31,$
ups,United Parcel Service,UPS,us-stock,0.149,0.574,0.045,105.34,$
ttwo,Take-Two Interactive,TTWO,us-stock,0.281,0.302,0.045,366.70,$
bg,Bunge Global,BG,us-stock,0.231,0.561,0.045,350.70,$
bkr,Baker Hughes,BKR,us-stock,0.191,0.345,0.045,682.79,$
aee,Ameren,AEE,us-stock,0.244,0.451,0.045,653.37,$
ajg,Arthur J. Gallagher & Co.,AJG,us-stock,0.225,0.640,0.045,291.76,$
podd,Insulet Corporation,PODD,us-stock,0.168,0.420,0.045,777.00,$
ivz,Invesco,IVZ,us-stock,0.201,0.217,0.045,617.53,$
bkng,Booking Holdings,BKNG,us-stock,0.205,0.630,0.045,869.58,$
rtx,RTX Corporation,RTX,us-stock,0.253,0.616,0.045,427.60,$
tmus,T-Mobile US,TMUS,us-stock,0.245,0.370,0.045,908.00,$
f,Ford Motor Company,F,us-stock,0.101,0.342,0.045,320.35,$
mtb,M&T Bank,MTB,us-stock,0.256,0.514,0.045,609.33,$
gis,General Mills,GIS,us-stock,0.187,0.597,0.045,783.16,$
mpc,Marathon Petroleum,MPC,us-stock,0.333,0.532,0.045,525.73,$
ctra,Coterra,CTRA,us-stock,0.202,0.259,0.045,855.67,$
kmb,Kimberly-Clark,KMB,us-stock,0.114,0.290,0.045,259.13,$
vmc,Vulcan Materials Company,VMC,us-stock,0.281,0.532,0.045,218.47,$
ceg,Constellation Energy,CEG,us-stock,0.187,0.225,0.045,937.43,$
wday,"""Workday",WDAY,us-stock,0.208,0.205,0.045,773.22,$
tjx,TJX Companies,TJX,us-stock,0.221,0.648,0.045,112.89,$
avgo,Broadcom,AVGO,us-stock,0.247,0.220,0.045,932.27,$
hpe,Hewlett Packard Enterprise,HPE,us-stock,0.185,0.288,0.045,740.22,$
ntap,NetApp,NTAP,us-stock,0.200,0.239,0.045,531.47,$
fe,FirstEnergy,FE,us-stock,0.126,0.197,0.045,363.27,$
ice,Intercontinental Exchange,ICE,us-stock,0.327,0.586,0.045,472.52,$
nke,"""Nike",NKE,us-stock,0.315,0.619,0.045,553.06,$
wy,Weyerhaeuser,WY,us-stock,0.116,0.626,0.045,543.89,$
pwr,Quanta Services,PWR,us-stock,0.240,0.395,0.045,751.42,$
pm,Philip Morris International,PM,us-stock,0.317,0.384,0.045,643.39,$
lin,Linde plc,LIN,us-stock,0.224,0.607,0.045,486.84,$
ctas,Cintas,CTAS,us-stock,0.141,0.222,0.045,314.79,$
aph,Amphenol,APH,us-stock,0.191,0.253,0.045,20.45,$
cci,Crown Castle,CCI,us-stock,0.221,0.536,0.045,144.94,$
ftnt,Fortinet,FTNT,us-stock,0.157,0.431,0.045,690.89,$
dte,DTE Energy,DTE,us-stock,0.213,0.535,0.045,306.61,$
wat,Waters Corporation,WAT,us-stock,0.287,0.555,0.045,601.03,$
cohr,Coherent Corp.,COHR,us-stock,0.295,0.438,0.045,196.69,$
amt,American Tower,AMT,us-stock,0.318,0.385,0.045,257.40,$
sats,EchoStar,SATS,us-stock,0.273,0.484,0.045,830.14,$
omc,Omnicom Group,OMC,us-stock,0.140,0.217,0.045,629.07,$
vz,Verizon,VZ,us-stock,0.219,0.556,0.045,617.08,$
lvs,Las Vegas Sands,LVS,us-stock,0.267,0.308,0.045,651.97,$
oke,Oneok,OKE,us-stock,0.224,0.306,0.045,196.12,$
zts,Zoetis,ZTS,us-stock,0.098,0.244,0.045,119.25,$
csx,CSX Corporation,CSX,us-stock,0.203,0.393,0.045,703.47,$
solv,Solventum,SOLV,us-stock,0.213,0.331,0.045,160.63,$
hd,Home Depot (The),HD,us-stock,0.342,0.190,0.045,972.61,$
uri,United Rentals,URI,us-stock,0.156,0.239,0.045,444.03,$
xel,Xcel Energy,XEL,us-stock,0.082,0.222,0.045,24.58,$
tpl,Texas Pacific Land Corporation,TPL,us-stock,0.139,0.378,0.045,787.87,$
key,KeyCorp,KEY,us-stock,0.215,0.355,0.045,699.97,$
carr,Carrier Global,CARR,us-stock,0.089,0.218,0.045,753.06,$
vtr,Ventas,VTR,us-stock,0.119,0.305,0.045,398.50,$
met,MetLife,MET,us-stock,0.227,0.265,0.045,896.74,$
apa,APA Corporation,APA,us-stock,0.148,0.359,0.045,22.49,$
nem,Newmont,NEM,us-stock,0.343,0.516,0.045,390.95,$
odfl,Old Dominion,ODFL,us-stock,0.343,0.296,0.045,994.59,$
vtrs,Viatris,VTRS,us-stock,0.134,0.526,0.045,103.02,$
crwd,CrowdStrike,CRWD,us-stock,0.260,0.278,0.045,395.23,$
nue,Nucor,NUE,us-stock,0.340,0.620,0.045,167.03,$
cinf,Cincinnati Financial,CINF,us-stock,0.277,0.530,0.045,554.08,$
erie,Erie Indemnity,ERIE,us-stock,0.113,0.406,0.045,305.82,$
expe,Expedia Group,EXPE,us-stock,0.177,0.204,0.045,670.03,$
cpb,Campbell's Company (The),CPB,us-stock,0.343,0.291,0.045,439.82,$
es,Eversource Energy,ES,us-stock,0.084,0.553,0.045,588.85,$
mos,Mosaic Company (The),MOS,us-stock,0.187,0.294,0.045,969.15,$
hsic,Henry Schein,HSIC,us-stock,0.237,0.505,0.045,691.52,$
udr,"""UDR",UDR,us-stock,0.122,0.542,0.045,256.24,$
trv,Travelers Companies (The),TRV,us-stock,0.215,0.502,0.045,345.04,$
adp,Automatic Data Processing,ADP,us-stock,0.342,0.537,0.045,69.45,$
wmt,Walmart,WMT,us-stock,0.176,0.252,0.045,540.99,$
tel,TE Connectivity,TEL,us-stock,0.109,0.409,0.045,323.57,$
dal,Delta Air Lines,DAL,us-stock,0.231,0.483,0.045,353.84,$
rmd,ResMed,RMD,us-stock,0.321,0.525,0.045,31.14,$
ctsh,Cognizant,CTSH,us-stock,0.182,0.520,0.045,258.19,$
nsc,Norfolk Southern,NSC,us-stock,0.091,0.512,0.045,563.43,$
amcr,Amcor,AMCR,us-stock,0.227,0.410,0.045,571.03,$
aon,Aon plc,AON,us-stock,0.227,0.332,0.045,473.71,$
ph,Parker Hannifin,PH,us-stock,0.314,0.461,0.045,861.96,$
crl,Charles River Laboratories,CRL,us-stock,0.123,0.430,0.045,454.89,$
lulu,Lululemon Athletica,LULU,us-stock,0.301,0.435,0.045,459.54,$
evrg,Evergy,EVRG,us-stock,0.289,0.418,0.045,736.32,$
msft,Microsoft,MSFT,us-stock,0.318,0.471,0.045,420.37,$
mpwr,Monolithic Power Systems,MPWR,us-stock,0.247,0.331,0.045,72.71,$
ste,Steris,STE,us-stock,0.341,0.565,0.045,197.97,$
dxcm,Dexcom,DXCM,us-stock,0.264,0.540,0.045,162.59,$
lhx,L3Harris,LHX,us-stock,0.156,0.373,0.045,328.80,$
app,AppLovin,APP,us-stock,0.106,0.490,0.045,53.34,$
ffiv,"""F5",FFIV,us-stock,0.333,0.264,0.045,40.96,$
tech,Bio-Techne,TECH,us-stock,0.109,0.270,0.045,41.50,$
keys,Keysight Technologies,KEYS,us-stock,0.253,0.363,0.045,495.01,$
hlt,Hilton Worldwide,HLT,us-stock,0.248,0.457,0.045,58.59,$
ppl,PPL Corporation,PPL,us-stock,0.140,0.517,0.045,22.96,$
amzn,Amazon,AMZN,us-stock,0.329,0.488,0.045,929.12,$
swks,Skyworks Solutions,SWKS,us-stock,0.305,0.400,0.045,642.53,$
crh,CRH plc,CRH,us-stock,0.177,0.529,0.045,891.53,$
mrk,Merck & Co.,MRK,us-stock,0.302,0.553,0.045,67.72,$
epam,EPAM Systems,EPAM,us-stock,0.247,0.429,0.045,736.96,$
tpr,"""Tapestry",TPR,us-stock,0.305,0.217,0.045,223.74,$
el,Estée Lauder Companies (The),EL,us-stock,0.220,0.228,0.045,238.71,$
ato,Atmos Energy,ATO,us-stock,0.184,0.271,0.045,660.31,$
fds,FactSet,FDS,us-stock,0.234,0.625,0.045,562.84,$
wbd,Warner Bros. Discovery,WBD,us-stock,0.231,0.531,0.045,768.62,$
wmb,Williams Companies,WMB,us-stock,0.236,0.497,0.045,705.52,$
eme,Emcor,EME,us-stock,0.195,0.229,0.045,794.54,$
o,Realty Income,O,us-stock,0.228,0.417,0.045,660.96,$
c,Citigroup,C,us-stock,0.224,0.462,0.045,934.18,$
bxp,"""BXP",BXP,us-stock,0.324,0.439,0.045,996.88,$
vlto,Veralto,VLTO,us-stock,0.308,0.374,0.045,636.91,$
etr,Entergy,ETR,us-stock,0.303,0.332,0.045,248.32,$
wec,WEC Energy Group,WEC,us-stock,0.227,0.356,0.045,554.74,$
pltr,Palantir Technologies,PLTR,us-stock,0.281,0.349,0.045,457.88,$
cdns,Cadence Design Systems,CDNS,us-stock,0.339,0.180,0.045,44.32,$
spg,Simon Property Group,SPG,us-stock,0.157,0.188,0.045,143.73,$
rjf,Raymond James Financial,RJF,us-stock,0.320,0.183,0.045,984.55,$
abbv,AbbVie,ABBV,us-stock,0.138,0.328,0.045,773.81,$
tko,TKO Group Holdings,TKO,us-stock,0.335,0.566,0.045,919.92,$
sjm,J.M. Smucker Company (The),SJM,us-stock,0.218,0.448,0.045,575.90,$
dri,Darden Restaurants,DRI,us-stock,0.105,0.396,0.045,164.55,$
mrsh,Marsh McLennan,MRSH,us-stock,0.152,0.598,0.045,257.36,$
has,Hasbro,HAS,us-stock,0.149,0.321,0.045,574.78,$
clx,Clorox,CLX,us-stock,0.234,0.282,0.045,86.43,$
gehc,GE HealthCare,GEHC,us-stock,0.168,0.407,0.045,493.39,$
wst,West Pharmaceutical Services,WST,us-stock,0.323,0.510,0.045,821.32,$
psky,Paramount Skydance Corporation,PSKY,us-stock,0.106,0.482,0.045,47.00,$
nwsa,News Corp (Class A),NWSA,us-stock,0.298,0.359,0.045,782.32,$
pcg,PG&E Corporation,PCG,us-stock,0.329,0.337,0.045,880.99,$
cvx,Chevron Corporation,CVX,us-stock,0.197,0.617,0.045,129.34,$
len,Lennar,LEN,us-stock,0.288,0.531,0.045,850.98,$
alb,Albemarle Corporation,ALB,us-stock,0.331,0.478,0.045,635.87,$
mdt,Medtronic,MDT,us-stock,0.095,0.426,0.045,326.12,$
intu,Intuit,INTU,us-stock,0.233,0.334,0.045,700.79,$
cl,Colgate-Palmolive,CL,us-stock,0.121,0.497,0.045,997.39,$
cfg,Citizens Financial Group,CFG,us-stock,0.342,0.534,0.045,579.50,$
aiz,Assurant,AIZ,us-stock,0.104,0.383,0.045,788.50,$
algn,Align Technology,ALGN,us-stock,0.120,0.338,0.045,481.10,$
alle,Allegion,ALLE,us-stock,0.281,0.438,0.045,269.93,$
gen,Gen Digital,GEN,us-stock,0.188,0.384,0.045,700.89,$
mlm,Martin Marietta Materials,MLM,us-stock,0.286,0.406,0.045,206.13,$
ares,Ares Management,ARES,us-stock,0.187,0.449,0.045,565.56,$
klac,KLA Corporation,KLAC,us-stock,0.349,0.426,0.045,249.89,$
uber,Uber,UBER,us-stock,0.152,0.382,0.045,687.89,$
yum,Yum! Brands,YUM,us-stock,0.236,0.233,0.045,419.45,$
nxpi,NXP Semiconductors,NXPI,us-stock,0.179,0.270,0.045,351.08,$
azo,AutoZone,AZO,us-stock,0.257,0.542,0.045,177.56,$
pld,Prologis,PLD,us-stock,0.174,0.566,0.045,804.77,$
bsx,Boston Scientific,BSX,us-stock,0.248,0.387,0.045,924.97,$
cms,CMS Energy,CMS,us-stock,0.143,0.502,0.045,164.43,$
stz,Constellation Brands,STZ,us-stock,0.277,0.220,0.045,742.19,$
cvs,CVS Health,CVS,us-stock,0.146,0.472,0.045,156.20,$
peg,Public Service Enterprise Group,PEG,us-stock,0.305,0.315,0.045,349.84,$
akam,Akamai Technologies,AKAM,us-stock,0.297,0.323,0.045,476.48,$
ball,Ball Corporation,BALL,us-stock,0.170,0.528,0.045,219.76,$
msci,MSCI Inc.,MSCI,us-stock,0.228,0.533,0.045,553.31,$
eurusd,EUR/USD,EURUSD,forex,0.031,0.149,0.045,104.41,$
usdjpy,USD/JPY,USDJPY,forex,0.037,0.081,0.045,135.95,$
gbpusd,GBP/USD,GBPUSD,forex,0.018,0.068,0.045,9.49,$
usdchf,USD/CHF,USDCHF,forex,-0.024,0.117,0.045,41.06,$
audusd,AUD/USD,AUDUSD,forex,0.010,0.144,0.045,10.46,$
usdcad,USD/CAD,USDCAD,forex,0.036,0.113,0.045,136.97,$
nzdusd,NZD/USD,NZDUSD,forex,-0.003,0.052,0.045,44.23,$
eurgbp,EUR/GBP,EURGBP,forex,0.065,0.083,0.045,146.98,$
eurjpy,EUR/JPY,EURJPY,forex,0.016,0.118,0.045,135.63,$
gbpjpy,GBP/JPY,GBPJPY,forex,0.013,0.106,0.045,13.66,$
chfjpy,CHF/JPY,CHFJPY,forex,-0.024,0.146,0.045,84.32,$
eurchf,EUR/CHF,EURCHF,forex,0.043,0.044,0.045,138.38,$
audjpy,AUD/JPY,AUDJPY,forex,-0.010,0.094,0.045,111.79,$
audnzd,AUD/NZD,AUDNZD,forex,-0.048,0.115,0.045,53.63,$
usdinr,USD/INR,USDINR,forex,-0.011,0.150,0.045,146.80,$
eurinr,EUR/INR,EURINR,forex,-0.014,0.047,0.045,39.02,$
gbpinr,GBP/INR,GBPINR,forex,0.000,0.150,0.045,148.56,$
jpyinr,JPY/INR,JPYINR,forex,0.073,0.144,0.045,34.22,$
usdcny,USD/CNY,USDCNY,forex,-0.006,0.083,0.045,21.02,$
usdzar,USD/ZAR,USDZAR,forex,0.045,0.097,0.045,101.86,$
usdtry,USD/TRY,USDTRY,forex,0.063,0.116,0.045,62.89,$
usdmxn,USD/MXN,USDMXN,forex,0.024,0.087,0.045,47.20,$
usdbrl,USD/BRL,USDBRL,forex,0.029,0.089,0.045,20.20,$
usdrub,USD/RUB,USDRUB,forex,0.035,0.104,0.045,102.77,$
usdkrw,USD/KRW,USDKRW,forex,-0.024,0.055,0.045,103.44,$
usdsgd,USD/SGD,USDSGD,forex,0.067,0.140,0.045,64.79,$
usdhkd,USD/HKD,USDHKD,forex,0.068,0.125,0.045,98.61,$
usdsek,USD/SEK,USDSEK,forex,0.023,0.057,0.045,10.64,$
usdnok,USD/NOK,USDNOK,forex,0.019,0.119,0.045,28.03,$
usddkk,USD/DKK,USDDKK,forex,0.059,0.056,0.045,4.91,$
euraud,EUR/AUD,EURAUD,forex,-0.009,0.147,0.045,144.20,$
eurcad,EUR/CAD,EURCAD,forex,-0.011,0.122,0.045,123.34,$
eurnzd,EUR/NZD,EURNZD,forex,0.033,0.121,0.045,23.22,$
gbpchf,GBP/CHF,GBPCHF,forex,-0.026,0.054,0.045,4.42,$
gbpaud,GBP/AUD,GBPAUD,forex,0.078,0.108,0.045,91.04,$
gbpcad,GBP/CAD,GBPCAD,forex,0.030,0.106,0.045,35.02,$
gbpnzd,GBP/NZD,GBPNZD,forex,-0.047,0.049,0.045,117.08,$
audchf,AUD/CHF,AUDCHF,forex,-0.033,0.133,0.045,70.58,$
audcad,AUD/CAD,AUDCAD,forex,0.034,0.060,0.045,58.43,$
cadchf,CAD/CHF,CADCHF,forex,0.012,0.058,0.045,34.33,$
cadjpy,CAD/JPY,CADJPY,forex,0.003,0.147,0.045,138.85,$
nzdjpy,NZD/JPY,NZDJPY,forex,0.074,0.064,0.045,100.87,$
nzdchf,NZD/CHF,NZDCHF,forex,-0.024,0.063,0.045,26.97,$
nzdcad,NZD/CAD,NZDCAD,forex,0.074,0.088,0.045,92.75,$
sgdjpy,SGD/JPY,SGDJPY,forex,0.039,0.135,0.045,133.19,$
hkdjpy,HKD/JPY,HKDJPY,forex,0.006,0.125,0.045,91.39,$
zarjpy,ZAR/JPY,ZARJPY,forex,0.057,0.119,0.045,59.43,$
tryjpy,TRY/JPY,TRYJPY,forex,0.072,0.103,0.045,80.66,$
clf,Crude Oil (WTI),CL=F,commodity,0.088,0.352,0.045,240.63,$
bzf,Brent Crude,BZ=F,commodity,0.040,0.271,0.045,4394.95,$
ngf,Natural Gas,NG=F,commodity,0.109,0.201,0.045,2712.45,$
hof,Heating Oil,HO=F,commodity,0.119,0.133,0.045,1967.62,$
rbf,RBOB Gas,RB=F,commodity,0.099,0.438,0.045,989.76,$
gcf,Gold,GC=F,commodity,0.070,0.412,0.045,3879.70,$
sif,Silver,SI=F,commodity,0.056,0.175,0.045,1507.38,$
hgf,Copper,HG=F,commodity,0.113,0.348,0.045,4523.19,$
plf,Platinum,PL=F,commodity,0.072,0.333,0.045,497.68,$
paf,Palladium,PA=F,commodity,0.075,0.179,0.045,2947.97,$
zcf,Corn,ZC=F,commodity,0.110,0.300,0.045,1995.68,$
zsf,Soybeans,ZS=F,commodity,0.059,0.128,0.045,2295.72,$
zwf,Wheat,ZW=F,commodity,0.111,0.416,0.045,4418.61,$
zrf,Rough Rice,ZR=F,commodity,0.038,0.227,0.045,3260.45,$
zof,Oats,ZO=F,commodity,0.094,0.174,0.045,3679.65,$
lef,Live Cattle,LE=F,commodity,0.038,0.353,0.045,3188.66,$
gff,Feeder Cattle,GF=F,commodity,0.038,0.353,0.045,3648.03,$
hef,Lean Hogs,HE=F,commodity,0.118,0.322,0.045,841.50,$
ccf,Cocoa,CC=F,commodity,0.080,0.134,0.045,895.88,$
kcf,Coffee,KC=F,commodity,0.060,0.408,0.045,4320.23,$
ctf,Cotton,CT=F,commodity,0.045,0.168,0.045,3857.33,$
sbf,Sugar,SB=F,commodity,0.035,0.222,0.045,3664.30,$
lbsf,Lumber,LBS=F,commodity,0.116,0.215,0.045,944.45,$
ojf,Orange Juice,OJ=F,commodity,0.111,0.437,0.045,67.49,$
uxf,Uranium,UX=F,commodity,0.099,0.124,0.045,2513.26,$
